,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
24,196484,2020. 11. 11.,17000,112,5980000,492,[주간아 미방] 시크한 마녀들이 돌아왔다! 여자친구의 ‘MAGO’♬ l EP.485,199
25,1184845,2020. 11. 9.,140000,304,5800000,8731,[GOING SEVENTEEN 2020] EP.38 천고마비 (Bungee Jump) #2,1537
26,311006,2020. 11. 11.,22000,180,232000,1402,[ENG] 🍚 EP.16 1M 솥뚜껑에 빈틈없이 꽉 채웠다! 여자친구(GFRIEND)의 한우 곱창+대창+막창 PARTY,1358
27,1092676,2020. 11. 10.,16000,323,1540000,2164,블랙핑크 분들을 만났습니다.. 진짜 꿈인가?,57
28,565935,2020. 11. 10.,89000,128,1510000,4888,‘IDEA’ Dance Tutorial with 탬또롤 l TAEMIN,747
29,346885,2020. 11. 11.,6900,98,408000,1392,“와라.” 진 성우님께서 읽어주시는 프리시즌 패치노트 하이라이트｜10.23 LOL 패치노트 하이라이트 - 리그 오브 레전드,161
30,208205,2020. 11. 11.,6500,54,2270000,585,[Eng] 초아(CHOA)에게 쎈 언니 메이크업 해주기😎 l 이사배(RISABAE Makeup),873
31,1471965,2020. 11. 9.,13000,319,930000,12713,판스프링에 사람 죽었는데 '가만히 있으라'?…판스프링 단속 거부한 화물차 기사들 / 비디오머그,256
32,73817,2020. 11. 11.,958,6,251000,124,파격적인 스타일로 돌아온 #이재성 & 인캠 #정승현 합류 | 2020 유럽 원정 EP.4,181
33,279448,2020. 11. 11.,3500,233,59400,852,"한화 사장 급선회 이유...""이용규, 5천만원 가능?"" 키움행 비하인드",837
34,335786,2020. 11. 11.,51000,89,1510000,4600,(이)런 (데)박 매니저 (아)주 좋아 | 진기장판 Ep.1 데리러 가,687
35,137947,2020. 11. 11.,1600,23,148000,454,(펀치력 ㅎㄷㄷ) 헤비급 최강 핵주먹 김형규 VS 최강 맷집 이상수 100% 풀파워 스파링!!,405
36,131281,2020. 11. 11.,1300,27,744000,51,"아버지에게 자기 보고 싶으면 한국에 오라던 빌푸,, 말이 씨가 돼버렸다 ㄴㅇㄱ l #어서와ZIP l #어서와한국은처음이지 l EP.73",689
37,119328,2020. 11. 11.,4100,41,444000,298,빼빼로 하나로 모르는사람 커플 만들어주기 [덕출이],360
38,162272,2020. 11. 11.,4500,84,148000,592,"""아유 야가 와그랴?!!(기겁)"" 하시면서 밥은 더 먹으라고 하시는 81세 할머니 백반집ㅋㅋㅋ혼나다가 먹다갘ㅋㅋㅋㅋㅋ 웅이 먹방 EATING SHOW MUKBANG",788
39,244172,2020. 11. 10.,5800,117,475000,632,찐 추천! 삶의 질 상승템 📈 니가 왜 거기서 나와...??🌸,1067
40,122851,2020. 11. 11.,3600,64,372000,537,가십걸 그동네! 어퍼이스트사이드 월세집 보러 가요!,1246
41,1440548,2020. 11. 9.,19000,433,1080000,2421,브리스킷은 사드세요.....제발,491
42,313945,2020. 11. 10.,4500,354,1020000,980,유정호 람보르기니 폐차 1분전은 못참짘ㅋㅋㅋㅋㅋㅋ,239
43,62988,2020. 11. 11.,818,174,145000,149,아이폰12 | 미니와 사이즈 비교 + ktM모바일 개통기,569
44,51649,2020. 11. 11.,1400,46,122000,149,틱톡에서 유행하는 천사와 악마 되기 챌린지! 성공할수있을까....?,485
45,313409,2020. 11. 10.,2800,235,308000,551,생선이 30kg가 넘어가면 고기 맛이 나네요,741
46,478864,2020. 11. 10.,11000,194,2570000,667,안녕하세요 Thankyou BUBU 입니다,923
47,199819,2020. 11. 10.,2200,174,68300,451,먹방) 개그맨 대선배님 식당 목숨걸고 맛평가~3탄! 주병진 선배님 식당편! 눈치보다가 눈 돌아갈뻔ㅋㅋ / naengmyeon mukbang,507
48,441807,2020. 11. 8.,5200,393,68100,656,어몽어스 VR버전 [어몽어스 애니메이션] / [AMONG US ANIMATION][사이다툰],363
49,929845,2020. 11. 8.,6300,1500,146000,2003,라면 10개 먹는 보디빌더 부부,481
