,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
0,1398597,2020. 11. 11.,43000,875,2290000,9391,"안녕, 루시퍼 [지옥에서 온 그녀]",492
1,374997,2020. 11. 11.,3700,899,36100,2719,[TV조선 조이] 함소원 베이비시터 이모 퇴직 선언하고 짐 싸서 나간 사연은??😲 #TVCHOSUNJOY #직박구리,603
2,306963,2020. 11. 12.,4700,79,251000,852,#손흥민#이강인 합류 #완전체 훈련 돌입! 도대체..킬포가 몇 개야? | 2020 유럽 원정 EP.5,381
3,856059,2020. 11. 10.,6100,322,202000,1015,[ENG CC] 늑대개인 줄 알고 데려 왔는데... Adopted Wolfdogs.. or Wolves?,707
4,741271,2020. 11. 10.,5300,438,1080000,552,"[TV 동물농장 레전드] ‘새끼 늑대 5남매, 와일드 성장 일기’ 풀버전 다시보기 I TV동물농장 (Animal Farm) | SBS Story",998
5,663761,2020. 11. 11.,15000,220,1770000,2939,노래방 사장님의 노래실력 (Feat. 임창정) | ODG,531
6,693300,2020. 11. 11.,41000,18000,4690000,7966,SUB)바삭한 돈까스에 매콤새콤 쫄면 먹방 ! (ft.왕새우튀김) 리얼사운드 Pork cutlet jjolmyeon mukbang asmr,506
7,5554014,2020. 11. 11.,1290000,4600,40000000,63344,201111 Jimin (+ENG),1041
8,89863,2020. 11. 11.,1900,72,0,543,[전모델 오너입니다만? EP.06] 아반떼 AD 오너 훼사원의 N Line 감격 시승기! N Line에 완전 빠네빠네버렸어요-♥*+,899
9,2275391,2020. 11. 9.,72000,59000,4690000,30298,SUB)매콤달콤한 제육볶음에 된장시래기국 집밥 먹방 리얼사운드 Jeyukbokkeum mukbang ASMR,659
10,395899,2020. 11. 11.,6100,173,451000,744,저 승무원이었어요..,259
11,898968,2020. 11. 11.,140000,1400,1880000,10090,[CHOREOGRAPHY] GFRIEND (여자친구) ‘MAGO’ Dance Practice,199
12,363056,2020. 11. 11.,3300,90,930000,1291,30년 만에 단종되는 '귀요미' 다마스에 숨겨진 무겁고 어두운 진실 / 비디오머그,301
13,10592843,2020. 11. 9.,700000,14000,46600000,230307,GFRIEND (여자친구) 'MAGO' Official M/V,211
14,931494,2020. 11. 10.,14000,946,414000,1581,해명하겠습니다,36
15,327609,2020. 11. 10.,3100,284,575000,880,"""이게 쌍용차 맞아?!"" 시승하는 내내 완전 충격 그 자체..!! 신형 올뉴 렉스턴 시승기!",1286
16,941567,2020. 11. 10.,86000,1300,1480000,10564,"GFRIEND, MAGO (여자친구, MAGO) [THE SHOW 201110]",229
17,5393066,2020. 11. 10.,1420000,4900,40000000,75512,[PREVIEW] BTS (방탄소년단) '2021 SEASON’S GREETINGS' SPOT (BTS GOES RETRO),105
18,1413223,2020. 11. 9.,110000,1700,1480000,13916,"GFRIEND, MAGOㅣGFRIEND COMEBACK SHOW [回:Walpurgis Night]",263
19,141586,2020. 11. 11.,2700,72,99700,605,"[몰카] 개그우먼들에게 다짜고짜 빼빼로 주기ㅋㅋㅋㅋ빼빼로데이 특집 감사몰카ㅋㅋㅋ(ft.바그냥, 박소영, 연예림, 송아리)",297
20,239562,2020. 11. 10.,3500,46,251000,569,이게 얼마만 인가? 거의 1년 만에 상봉했습니다! #손흥민 #황의조 | 2020 유럽 원정 EP.2,241
21,50533,2020. 11. 12.,1700,13,121000,534,"[속보] 배성재 퇴사, 프리 선언..?! / SBS 창사 30주년 특집 축구 대표팀 평가전 중계 예고",59
22,73954,2020. 11. 11.,1300,50,24200,136,[몰카] 속마음 들리게 말해서 친구에게 당하고 있는 미녀를 도와준다면?!ㅋㅋㅋ여자 분 벽 잡고 쓰러짐ㅋㅋㅋㅋ (ft. 구구랜드 주현정),526
23,1816691,2020. 11. 11.,17000,520,0,1317,Jon Rahm skips to a hole-in-one on No. 16 | Masters Tuesday,49
