,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
0,2318008,2020. 11. 6.,34000,744,3780000,2533,로꼬 전역하자마자 연행 위기?! 💊부터 금괴까지 선 넘는 밀수품에 모든걸 의심하게 된다는 관세청 직업 리뷰 | 워크맨 ep.75,823
1,2023132,2020. 11. 6.,61000,466,1050000,11991,화장품왕 만나서 네고해왔습니다 [네고왕] Ep.11,889
2,969405,2020. 11. 6.,14000,253,1170000,950,"강형욱이 탐낸 천재견, 신비의 견종 3개월 파라오 하운드와 저 세상 터그놀이 | 강형욱의 멍스쿨",971
3,585586,2020. 11. 7.,10000,143,2270000,840,🕺ep.3-2 은초딩 입맛을 만족시킨 최고의 안주는?! #언제까지어깨춤을추게할거야,863
4,2066371,2020. 11. 5.,70000,8500,6430000,22076,[MPD직캠] 트와이스 1위 앵콜 직캠 4K 'I CAN'T STOP ME' (TWICE FanCam No.1 Encore) | @MCOUNTDOWN_2020.11.5,305
5,2585917,2020. 11. 4.,89000,2100,1020000,16856,임영웅 [HERO] MV,218
6,1381401,2020. 11. 6.,53000,802,1360000,8147,"[4K] 송민호(MINO)의 킬링벌스를 라이브로! | Hooligan, 시발점, Born Hater, Machine Gun, 노땡큐, 연금술, 붐벼, Ok man, 도망가 등",954
7,441817,2020. 11. 5.,3800,91,2230000,351,[#유퀴즈온더블럭] 어제 방송한 법치의학자&법의조사관 편! 드라마와 정반대인 국과수의 현실 | #갓구운클립 #Diggle,892
8,329313,2020. 11. 6.,3400,164,1070000,254,[TV 동물농장 레전드] ‘멸종 위기 늑대의 출산 현장 24시’ 풀버전 다시보기 I TV동물농장 (Animal Farm) | SBS Story,837
9,888181,2020. 11. 6.,37000,790,5340000,1572,[K-Choreo 8K] 트와이스 직캠 I CAN'T STOP ME (TWICE Choreography) l @MusicBank 201106,224
10,665967,2020. 11. 6.,16000,565,126000,3146,Chocolate Fondue ASMR Mukbang 초코퐁듀 직접 만들어서 먹방!,632
11,1232120,2020. 11. 5.,24000,529,2650000,3308,[2인팟] 제시,287
