,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
12,1469352,2020. 11. 6.,170000,1800,22500000,8526,1MILLION X K/DA - MORE,218
13,479693,2020. 11. 6.,5800,156,604000,822,"위가 2개인 먹방계 돌연변이 등장? 위내시경 결과 공개!┃Mutant with 2 Stomachs?! Revealing the Gastroscope Result, too!!",302
14,219960,2020. 11. 6.,4500,129,629000,494,얼굴없이 치킨먹방만 보고 존잘남 찾은 존예 (Mukbang Fried Chicken/Spicy Fried Chicken/짜장치킨) #먹개팅 #NEW룩개팅13,874
15,462222,2020. 11. 7.,9000,91,2270000,559,🕺ep.3-1 한잔줍쇼~십오야 콜라보! 마포로 간 어깨춤 세끼! #언제까지어깨춤을추게할거야,854
16,1399982,2020. 11. 4.,39000,825,2280000,3668,영화관 그 남자 & 정체 모를 석고상 [총몇명의 사연낭독],302
17,1814239,2020. 11. 4.,48000,437,1060000,7192,승우아빠 많이 컸다 페이커랑 요리도 하고,1042
18,74432,2020. 11. 6.,2800,34,98000,76,A thought on an autumn night (가을밤에 든 생각),187
19,591501,2020. 11. 6.,1800,106,1320000,311,[요약] 엄기준 두집살림도 모자라 애까지..? 모든 게 가짜인 이지아ㅠㅠ #펜트하우스 #SBScatch,1629
20,197509,2020. 11. 6.,4600,143,79500,626,1000만원짜리 알바 #1 [기시니 스릴러툰],224
21,623726,2020. 11. 6.,23000,300,2790000,3275,90년된 건물 수리하기,294
22,577585,2020. 11. 5.,16000,96,331000,1697,승우아빠 많이 컸다 페이커랑 밥도 같이 먹고,725
23,556902,2020. 11. 6.,5700,124,335000,530,나랑 잘래? 구미호뎐 김용지♥황희 모음 2탄. 노빠꾸 여우의 바람직한 간주점프♨️│#케미스토리 #디글,341
24,2405491,2020. 11. 3.,15000,1000,1090000,4430,‘신마적’ 최철호의 충격 근황...일용직으로 생계유지하는 이유는?[현장르포특종세상 449회],1068
25,292133,2020. 11. 6.,5200,115,345000,846,대책마련이 시급합니다..고향찾아 돌아온 수천마리 연어떼에게 펼쳐진 충격적인 현실..[생도다큐],786
26,472570,2020. 11. 5.,4300,595,141000,1077,[김강민x황철순] 프로 보디빌더들의 등운동법,807
27,912222,2020. 11. 5.,10000,189,4530000,805,10화#하이라이트#이동욱 살리려고 지옥문에 제발로 찾아간 김범 o0o 우리형은 내가 지켜!#구미호뎐 | TALE OF THE NINE TAILED EP.10,715
28,6652207,2020. 11. 6.,910000,9300,2760000,273173,TREASURE - ‘음 (MMM)’ M/V,216
29,326344,2020. 11. 6.,3200,182,56400,1803,이용규 방출 이유...단장들께 영입의사를 물었습니다,779
30,372138,2020. 11. 5.,1400,105,1320000,253,[요약] 모든 게 수상한 남편 엄기준의 역대급 뒤통수 ㄷㄷ 이지아 사기결혼 실화냐..? #펜트하우스 #SBScatch,1133
31,124170,2020. 11. 6.,6200,103,825000,679,인생 부대찌개를 맛뽐😭 리얼사운드 먹방 (with. 흥삼패밀리) | 오늘만 먹자 | Budae-jjigae Mukbang,888
32,120910,2020. 11. 6.,982,46,255000,36,"김장김치에 '이것'만 넣으면, 맛이 배가 된답니다",235
33,141146,2020. 11. 6.,4100,61,64400,446,[대성마이맥] 대성마이맥의 신규 강ㅅ..아니 신입사원 김민우입니다. 잘 부탁드립니다!,778
34,640566,2020. 11. 7.,5200,128,7740000,3885,SMTM9 [4회/풀버전] TEAM 코드 쿤스트 X 팔로알토 @3차 예선 I 리더 선발 싸이퍼 Full ver. EP.4 201106,823
35,347945,2020. 11. 6.,13000,121,211000,2267,구독자 수에 따라 얻는 엄청난 기능들..!,148
36,616105,2020. 11. 6.,19000,871,1550000,2201,에이핑크 보미님(Apink Bomi)께서 짜파구리를 드시러 오셨습니다!!,956
37,843268,2020. 11. 3.,6000,413,1090000,1589,"배우 최철호, 최근 근황을 방송으로 공개한 진짜 이유 2가지는?[현장르포특종세상 449회]",656
38,795955,2020. 11. 4.,14000,450,604000,2530,평생 써먹는 곱창 먹는 방법,673
39,256977,2020. 11. 6.,11000,123,484000,3574,안녕하세요. 두부입니다.,212
40,496216,2020. 11. 4.,9400,356,130000,1140,"""할머니 저 라면20개 먹어요ㅎㅎ"" 47년 된 라면가게 털다가 또 혼났어욬ㅋㅋㅠㅠ웅이 먹방 EATING SHOW RAMYUN MUKBANG",954
41,277752,2020. 11. 5.,9900,180,73100,2334,반지하 브이로그,177
42,286805,2020. 11. 5.,3000,300,304000,619,(맛집추천)황철순X김강민 양꼬치 먹방,906
43,185129,2020. 11. 5.,5500,95,96400,310,미스터트롯의 어린왕자 정동원의 레슨 선생님으로 전격 TV출연한 색소포니스트 이인관!! KBS 콘서트 7080에는 8년을 출연했는데 이제야 알아보다니...!!,435
44,262295,2020. 11. 5.,5700,125,135000,148,"계란의 모든것! 이것만숙지하세요 고르는법,보관법,먹는법,효능",326
45,211291,2020. 11. 6.,3400,101,540000,161,이사하는 이유 말씀드릴게요,346
46,31426,2020. 11. 6.,197,15,74100,76,"'국내 최초' 제네시스 GV70 실물 리뷰!!! 보닛 모양이 왜?!!(2.5 가솔린 터보, 무광 화이트)",603
47,138113,2020. 11. 6.,1700,50,31500,59,루도고레츠전 손흥민 투입 17초 만에 도움 기록 로셀소 득점 반응! 22년차 토트넘 찐팬 골 먹히고 놀란 가슴 쏘니로 쓸어내림ㅋㅋㅋㅋㅋㅋㅋ,145
48,240045,2020. 11. 6.,4400,85,894000,361,"제이제이 바디프로필 당일, 무보정 현실몸매 + 끝나고 뭐 먹었을까?",468
49,1633839,2020. 11. 4.,42000,788,1210000,6720,[짤툰 오리지널] 냉면 (feat. 존박),425
