,Unnamed: 0,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
0,0,2062476,2020. 11. 4.,85000,1800,1020000,15606,임영웅 [HERO] MV,218
1,1,1167868,2020. 11. 5.,56000,5200,6420000,15582,[MPD직캠] 트와이스 1위 앵콜 직캠 4K 'I CAN'T STOP ME' (TWICE FanCam No.1 Encore) | @MCOUNTDOWN_2020.11.5,305
2,2,888981,2020. 11. 2.,40000,575,1360000,6310,"[4K] 송민호(MINO)의 킬링벌스를 라이브로! | Hooligan, 시발점, Born Hater, Machine Gun, 노땡큐, 연금술, 붐벼, Ok man, 도망가 등",954
3,3,976984,2020.11.5,10000,171,138000,987,유퀴즈 온더블럭 국과수 자기님들과의 토크,559
4,4,1640945,2020.11.4,45000,407,1060000,6900,승우 아빠 많이 컸다 페이커랑 요리도 하고,1042
5,5,1250294,2020.11.4,37000,755,2280000,3500,영화관 그 남자 정체모를 석고상,302
6,6,433975,2020. 11. 5.,14000,78,329000,1546,승우아빠 많이 컸다 페이커랑 밥도 같이 먹고,725
7,7,353901,2020. 11. 5.,3800,331,140000,848,[김강민x황철순] 프로 보디빌더들의 등운동법,807
8,8,643119,2020. 11. 5.,9100,137,4520000,687,10화#하이라이트#이동욱 살리려고 지옥문에 제발로 찾아간 김범 o0o 우리형은 내가 지켜!#구미호뎐 | TALE OF THE NINE TAILED EP.10,715
9,9,1807016,2020. 11. 3.,11000,770,1080000,3513,‘신마적’ 최철호의 충격 근황...일용직으로 생계유지하는 이유는?[현장르포특종세상 449회],1068
10,10,1010925,2020. 11. 5.,22000,435,2650000,3069,[2인팟] 제시,287
11,11,676616,2020. 11. 4.,13000,373,601000,2366,평생 써먹는 곱창 먹는 방법,673
12,12,1084135,2020. 11. 5.,13000,252,4520000,1237,"9화#하이라이트#어둑시니 덕분에 밝혀진 이동욱X김범 여우형제 오해의 전말 '형, 그때.. 그럼?'#구미호뎐 | TALE OF THE NINE TAILED EP.9",792
13,13,702857,2020. 11. 3.,4900,336,1080000,1286,"배우 최철호, 최근 근황을 방송으로 공개한 진짜 이유 2가지는?[현장르포특종세상 449회]",656
14,14,401194,2020. 11. 4.,8000,271,125000,982,"""할머니 저 라면20개 먹어요ㅎㅎ"" 47년 된 라면가게 털다가 또 혼났어욬ㅋㅋㅠㅠ웅이 먹방 EATING SHOW RAMYUN MUKBANG",954
15,15,2650677,2020. 11. 2.,21000,737,282000,14051,개그맨 박지선 자택서 모친과 함께 숨진 채 발견 / 연합뉴스 (Yonhapnews),65
16,16,204708,2020. 11. 5.,8900,129,67900,2198,반지하 브이로그,177
17,17,195004,2020. 11. 6.,2400,106,55599,1477,이용규 방출 이유...단장들께 영입의사를 물었습니다,779
18,18,227285,2020. 11. 6.,942,40,1320000,147,[요약] 엄기준 두집살림도 모자라 애까지..? 모든 게 가짜인 이지아ㅠㅠ #펜트하우스 #SBScatch,1629
19,19,225979,2020. 11. 5.,2700,154,303000,551,(맛집추천)황철순X김강민 양꼬치 먹방,906
20,20,140972,2020. 11. 5.,4800,79,92800,283,미스터트롯의 어린왕자 정동원의 레슨 선생님으로 전격 TV출연한 색소포니스트 이인관!! KBS 콘서트 7080에는 8년을 출연했는데 이제야 알아보다니...!!,435
21,21,2538177,2020. 11. 2.,19000,674,2070000,7938,"개그우먼 박지선, 모친과 숨진 채 발견...유서 추정 메모 발견 / YTN",87
22,22,1523113,2020. 11. 2.,9900,451,194000,2165,"'충격' 故박지선, 숨진 채 발견 '유서성 메모.. 그녀의 발언도 재조명'",176
23,23,617169,2020. 11. 5.,7800,154,2030000,1090,감종국,1497
24,24,3055043,2020. 11. 3.,230000,2500,15800000,9410,'최초 공개' ♬ AYA - 마마무(MAMAMOO) | MAMAMOO COMEBACK SHOW ＜MONOLOGUE＞,351
25,25,88401,2020. 11. 6.,1300,29,31400,44,루도고레츠전 손흥민 투입 17초 만에 도움 기록 로셀소 득점 반응! 22년차 토트넘 찐팬 골 먹히고 놀란 가슴 쏘니로 쓸어내림ㅋㅋㅋㅋㅋㅋㅋ,145
26,26,1453833,2020. 11. 4.,39000,714,1210000,6523,[짤툰 오리지널] 냉면 (feat. 존박),425
27,27,78693,2020. 11. 5.,7400,195,72100,244,#임영웅 #신곡 #HERO #히어로 조용갑이 전격분석해보았다. 조용갑이 본 신곡 HERO는 어땠을까?[조용갑 해설방송- 임영웅 편],894
28,28,778545,2020. 11. 4.,10000,407,1060000,1217,릴카 다이어트 미션 결과 발표(feat. 비키니 벌칙),774
29,29,130414,2020. 11. 5.,2900,71,212000,193,무생채. 아삭하게 무쳐서 바로 드셔보세요,611
30,30,1151992,2020. 11. 3.,14000,442,1260000,1381,"고기에 미친 잃어버린 형님을 ""산채""로 모셨습니다.",752
31,31,13449801,2020. 11. 3.,1330000,17000,4850000,110975,[MV] 마마무 (MAMAMOO) - AYA,184
32,32,460651,2020. 11. 4.,21000,771,189000,6969,[단독] UFC 오르테가전 패배 이후 정찬성 근황. 질문부터 악플까지 모두 답변해드리겠습니다 [Korean Zombie Chan Sung Jung],909
33,33,94360,2020. 11. 5.,2600,44,132000,69,"계란의 모든것! 이것만숙지하세요 고르는법,보관법,먹는법,효능",326
34,34,693491,2020. 11. 3.,8300,138,332000,647,[#오지연] 구미호뎐 그 꼬맹이의 전생이 밝혀지다🖤 까만 댕댕이와 김범에 얽힌 눈물나는 사연ㅠㅠㅠ | #구미호뎐 #디글,543
35,35,713385,2020. 11. 4.,14000,581,413000,1122,20살이후 첫 명품 산 조두팔,255
36,36,764171,2020. 11. 3.,4000,190,194000,795,"故박지선, 슬픔의 빈소 현장, '오늘이 생일인데..' 장례식장엔 눈물 바다 '부검 않기로'",79
37,37,87950,2020. 11. 5.,11000,153,28800,623,임영웅 신곡(히어로 HERO)리뷰 웅이 아부지의 세계적인 히어로 기원겸 우주대스타 응원 리뷰~ 함께해 주세요 ~ 아자자자~!!!!!,589
38,38,272865,2020. 11. 5.,1000,77,1320000,207,[요약] 모든 게 수상한 남편 엄기준의 역대급 뒤통수 ㄷㄷ 이지아 사기결혼 실화냐..? #펜트하우스 #SBScatch,1133
39,39,858790,2020. 11. 3.,17000,209,94400,2492,나에게 주는 것 없이 좋은 사람 #멋쟁이희극인박지선｜크랩,287
40,40,137632,2020. 11. 5.,5500,26,509000,658,"""동화는 무슨"" 메이킹 필름!",753
41,41,174232,2020. 11. 5.,9700,124,5960000,311,[쇼챔직캠 4K] 트와이스 - 아이 캔트 스탑 미 (TWICE - I CAN'T STOP ME) l #쇼챔피언 l EP.377,211
42,42,423703,2020. 11. 3.,15000,224,746000,794,🇺🇸[미국대선특집] 공화당과 민주당의 역사,946
43,43,240691,2020. 11. 5.,3200,51,741000,399,"[예고] 돌아온 먹신 빌푸, 한국인 아내 최초 공개!",73
44,44,124532,2020. 11. 5.,5700,74,901000,795,이대로 컨텐츠 중단..? | 영광의레이서 Ep.4,1083
45,45,346673,2020. 11. 4.,9800,590,961000,778,"'손흥민에게 패스해'? 무리뉴 락커룸 녹취록, 소리지른 이유",331
46,46,97800,2020. 11. 5.,3800,34,107000,2250,무드등이 기절하면 벌어지면 섬뜩한 일,601
47,47,56378,2020. 11. 5.,5800,26,152000,1374,[짝과꿍] 카사노바,247
48,48,146237,2020. 11. 4.,4500,84,224000,911,흔한남매 회사 워크샵가다!? 직원 상품이 닌텐도?? (흔한일상),939
49,49,37664,2020. 11. 5.,4200,31,14400,189,"[ENG SUB] 대학교수가 밝힌 임영웅 ""HERO""가 대박인 이유!! Lim Young Woong ""HERO"" Review",286
