,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
0,5732038,2020. 11. 9.,600000,10000,46500000,159879,GFRIEND (여자친구) 'MAGO' Official M/V,538
1,1038821,2020. 11. 9.,51000,24000,4690000,24754,SUB)매콤달콤한 제육볶음에 된장시래기국 집밥 먹방 리얼사운드 Jeyukbokkeum mukbang ASMR,824
2,4069304,2020. 11. 10.,1250000,3500,39900000,70236,[PREVIEW] BTS (방탄소년단) '2021 SEASON’S GREETINGS' SPOT (BTS GOES RETRO),481
3,834410,2020. 11. 9.,93000,1000,1470000,8193,"GFRIEND, MAGOㅣGFRIEND COMEBACK SHOW [回:Walpurgis Night]",863
4,247052,2020. 11. 10.,2400,119,1080000,239,"[TV 동물농장 레전드] ‘새끼 늑대 5남매, 와일드 성장 일기’ 풀버전 다시보기 I TV동물농장 (Animal Farm) | SBS Story",935
5,595058,2020. 11. 10.,10000,153,1540000,1568,블랙핑크 분들을 만났습니다.. 진짜 꿈인가?,971
6,1016489,2020. 11. 9.,9700,207,929000,9785,판스프링에 사람 죽었는데 '가만히 있으라'?…판스프링 단속 거부한 화물차 기사들 / 비디오머그,1177
7,168667,2020. 11. 9.,4500,239,34600,197,[TV조선 조이] 동원이 서울 집 랜선 집들이 할 사람 손??🙋‍♀️🙋‍♂️ 하동 프린스 정동원 서울 궁전 최초공개!! #TVCHOSUNJOY #직박구리,145
8,2944778,2020. 11. 6.,75000,774,1060000,15953,화장품왕 만나서 네고해왔습니다 [네고왕] Ep.11,351
9,3873438,2020. 11. 6.,48000,1200,3790000,3572,[ENG] 로꼬 전역하자마자 연행 위기?! 💊부터 금괴까지 선 넘는 밀수품에 모든걸 의심하게 된다는 관세청 직업 리뷰 | 워크맨 ep.75,631
10,958104,2020. 11. 9.,16000,294,1080000,2096,브리스킷은 사드세요.....제발,309
11,1318735,2020. 11. 6.,12000,973,3750000,3765,[꼬꼬무] 7화 요약 '망치로 성인 4명을 때려 눕힌 무등산 타잔 박흥숙' | SBS NOW,305
12,6992052,2020. 11. 9.,390000,1900,24800000,31449,TAEMIN 태민 '이데아 (IDEA:理想)' MV,91
13,870353,2020. 11. 9.,120000,217,5790000,8067,[GOING SEVENTEEN 2020] EP.38 천고마비 (Bungee Jump) #2,837
14,83909,2020. 11. 10.,2200,22,247000,360,이게 얼마만 인가? 거의 1년 만에 상봉했습니다! #손흥민 #황의조 | 2020 유럽 원정 EP.2,274
15,744961,2020. 11. 8.,5600,1100,145000,1647,라면 10개 먹는 보디빌더 부부,321
16,498555,2020. 11. 9.,25000,149,474000,3257,결국 아빠가 유튜브 하는 거 알게 되었습니다,287
17,1294760,2020. 11. 7.,18000,302,2280000,1384,[sub]🕺ep.3-2 은초딩 입맛을 만족시킨 최고의 안주는?! #언제까지어깨춤을추게할거야,225
18,3809059,2020. 11. 6.,35000,869,1180000,2371,"강형욱이 탐낸 천재견, 신비의 견종 3개월 파라오 하운드와 저 세상 터그놀이 | 강형욱의 멍스쿨",268
19,365418,2020. 11. 9.,1900,111,1320000,426,[요약] 상류층 과외하러 갔다가 불륜 목격한 선생의 최후! 상상도 못한 놀라운 전개(⊙x⊙;) #펜트하우스 #SBScatch,218
20,315201,2020. 11. 9.,10000,313,1860000,345,MAGO,954
21,535373,2020. 11. 8.,8800,268,1060000,693,[실험카메라] 여친한테 회사 뒤통수 치고 나가서 커플 유튜브 하자고 했을때 반응은?ㅋㅋㅋㅋㅋㅋ,854
22,201253,2020. 11. 8.,2700,172,54700,418,어몽어스 VR버전 [어몽어스 애니메이션] / [AMONG US ANIMATION][사이다툰],784
23,1490919,2020. 11. 7.,37000,834,2290000,3361,장난전화 [총몇명 단편],2098
24,506074,2020. 11. 8.,8700,445,1190000,713,ENG/IND] [PRANK] 진호가 여자친구 송희랑 있는데 존예녀가 들이댄다면?!!ㅋㅋㅋㅋㅋ(송희 개빡침) - [동네놈들｜HOODBOYZ],187
25,315019,2020. 11. 8.,6800,149,0,675,[사연툰] 역대급! 학교에선 조용..밖에선 갑질하는 금수저 친구 [마나툰],60
26,119754,2020. 11. 9.,3000,33,107000,110,[임진한클라스] 올바른 연습법 #1. 연습장은 프로인데 필드는 백돌이? 고수가 되는 효율적인 실전 대비법,632
27,63757,2020. 11. 9.,4400,75,161000,1031,"[트롯전국박스 / Ep.3] ♬눈물주의♬경상도 이별의 멜로디, 송가인을 당황시킨 경상도 사연의 정체는?!",786
28,947725,2020. 11. 6.,8700,431,1080000,570,[TV 동물농장 레전드] ‘멸종 위기 늑대의 출산 현장 24시’ 풀버전 다시보기 I TV동물농장 (Animal Farm) | SBS Story,816
29,73369,2020. 11. 9.,1300,38,41100,281,[현지반응+분석] 손흥민은 왜 슛을 망설였던 걸까? (토트넘 v 웨스트브롬위치),511
30,589899,2020. 11. 7.,12000,170,60400,672,(ENG) 환불원정대. 만옥천옥조지 험난한 브런치 원정기.,559
31,233571,2020. 11. 8.,4200,136,578000,462,"eng)결혼 D-42ㆍ신혼집 계약하는날, 교통사고 당함😭(안다쳤어요!) 자존감 높이기, 튀김우동 해먹기",716
32,1675776,2020. 11. 9.,25000,194,212000,2424,하성운 (HA SUNG WOON) - '그 섬 (Forbidden Island)' M/V,175
33,1713749,2020. 11. 9.,13000,943,6080000,1203,Highlights Valencia CF vs Real Madrid (4-1),598
34,358489,2020. 11. 8.,23000,838,276000,4248,로건그릴스 ㅣ 부추 밭에서 토마호크스테이크,874
35,143803,2020. 11. 9.,1700,54,0,434,이 몸 만드는데 돈이 얼마나 들었을까? | 충격적인 내츄럴 과 비내츄럴의 유지비 차이!,218
36,238246,2020. 11. 9.,8300,148,338000,629,"일본에서 한국🇰🇷 자가격리 브이로그 | 밀착 2주, 아이와 336시간 | 에어비엔비 숙소 | 집순이 일상",508
37,186974,2020. 11. 8.,4400,51,185000,270,"[남편이 아내에게 하는 골프레슨] 드라이버, 이대로만 쭉 유지 할 수 있다면...",482
38,66418,2020. 11. 9.,3200,33,116000,86,이데아 IDEA:理想,302
39,2793221,2020. 11. 5.,77000,10000,6440000,26607,[MPD직캠] 트와이스 1위 앵콜 직캠 4K 'I CAN'T STOP ME' (TWICE FanCam No.1 Encore) | @MCOUNTDOWN_2020.11.5,229
40,56864,2020. 11. 9.,2200,22,315000,0,[비글부부] 비글부부만의 유아 미디어 노출 교육법 공개합니다,224
41,75135,2020. 11. 9.,5700,79,34200,690,[아이비클럽] 정동원 아이비클럽 교복 촬영 비하인드!,257
42,242789,2020. 11. 8.,5900,155,256000,507,운전자 대부분이 모르는 내기순환 버튼의 숨겨진 기능 + 자동차 내부 관리 방법 / HIDDEN FEATURES OF MY CARS [ 차업차득 ],1629
43,295388,2020. 11. 8.,3400,367,1020000,868,흙수저였는데 람보르기니타고오니 절교하자네요ㅋㅋ,222
44,1507470,2020. 11. 5.,26000,647,2650000,3681,[2인팟] 제시,393
45,274909,2020. 11. 8.,5500,122,366000,84,밥상위에 꿀반찬 오래두고 먹을 수 있는 보들보들한 황태 고추장 장아찌,138
46,853244,2020. 11. 6.,11000,263,347000,1639,대책마련이 시급합니다..고향찾아 돌아온 수천마리 연어떼에게 펼쳐진 충격적인 현실..[생도다큐],214
47,362297,2020. 11. 9.,6800,79,293000,377,이탈리아인이 친구 따라 한국 치과갔다가 충격받은 이유,545
48,1271804,2020. 11. 6.,26000,1100,163000,4307,Chocolate Fondue ASMR Mukbang 초코퐁듀 직접 만들어서 먹방!,554
49,353165,2020. 11. 8.,10000,130,488000,1717,쪄쪄로,294
