,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
0,562864,2020. 11. 10.,4500,212,200000,676,늑대개인 줄 알고 데려 왔는데...,707
1,586620,2020. 11. 10.,4300,330,1080000,473,"[TV 동물농장 레전드] ‘새끼 늑대 5남매, 와일드 성장 일기’ 풀버전 다시보기 I TV동물농장 (Animal Farm) | SBS Story",998
2,1837668,2020. 11. 9.,64000,47000,4690000,29956,SUB)매콤달콤한 제육볶음에 된장시래기국 집밥 먹방 리얼사운드 Jeyukbokkeum mukbang ASMR,659
3,8576436,2020.11.9.,660000,12000,46500000,202548,여자친구 MAGO official M/V,211
4,4980992,2020.11.10.,1360000,4600,39900000,74366,0,105
5,1197449,2020.11.9.,100000,1400,1470000,11750,0,263
6,733878,2020. 11. 10.,13000,556,414000,1423,해명하겠습니다,36
7,762786,2020. 11. 10.,79000,1100,1470000,8174,"GFRIEND, MAGO (여자친구, MAGO) [THE SHOW 201110]",229
8,250246,2020. 11. 10.,2700,196,575000,770,"""이게 쌍용차 맞아?!"" 시승하는 내내 완전 충격 그 자체..!! 신형 올뉴 렉스턴 시승기!",1286
9,179087,2020. 11. 10.,3000,42,249000,510,이게 얼마만 인가? 거의 1년 만에 상봉했습니다! #손흥민 #황의조 | 2020 유럽 원정 EP.2,241
10,925977,2020. 11. 10.,14000,276,1540000,2005,블랙핑크 분들을 만났습니다.. 진짜 꿈인가?,57
11,448243,2020. 11. 10.,79000,104,1500000,4528,‘IDEA’ Dance Tutorial with 탬또롤 l TAEMIN,747
12,1305966,2020. 11. 9.,12000,280,930000,11534,판스프링에 사람 죽었는데 '가만히 있으라'?…판스프링 단속 거부한 화물차 기사들 / 비디오머그,256
13,213767,2020. 11. 11.,5500,60,407000,1177,“와라.” 진 성우님께서 읽어주시는 프리시즌 패치노트 하이라이트｜10.23 LOL 패치노트 하이라이트 - 리그 오브 레전드,161
14,811546,2020. 11. 11.,8600,195,0,664,Jon Rahm skips to a hole-in-one on No. 16 | Masters Tuesday,49
15,206836,2020. 11. 11.,3100,183,59000,779,"한화 사장 급선회 이유...""이용규, 5천만원 가능?"" 키움행 비하인드",837
16,1246021,2020. 11. 9.,18000,377,1080000,2332,브리스킷은 사드세요.....제발,491
17,221720,2020. 11. 10.,3900,211,1020000,864,유정호 람보르기니 폐차 1분전은 못참짘ㅋㅋㅋㅋㅋㅋ,239
18,542451,2020. 11. 9.,2600,192,1320000,601,[요약] 상류층 과외하러 갔다가 불륜 목격한 선생의 최후! 상상도 못한 놀라운 전개(⊙x⊙;) #펜트하우스 #SBScatch,1656
19,117412,2020. 11. 10.,1800,19,249000,322,오스트리아 첫 훈련 공개합니다 | 2020 유럽 원정 EP.3,271
20,803268,2020. 11. 8.,32000,4400,4920000,8046,[앵콜CAM] 트와이스 'I CAN'T STOP ME' 인기가요 1위 앵콜 직캠 (TWICE Encore Fancam) | @SBS Inkigayo_2020.11.08.,289
21,591770,2020. 11. 9.,14000,549,1870000,421,MAGO,182
22,222098,2020. 11. 9.,4900,337,35300,245,[TV조선 조이] 동원이 서울 집 랜선 집들이 할 사람 손??🙋‍♀️🙋‍♂️ 하동 프린스 정동원 서울 궁전 최초공개!! #TVCHOSUNJOY #직박구리,484
23,8886971,2020. 11. 9.,440000,2300,24800000,36312,TAEMIN 태민 '이데아 (IDEA:理想)' MV,208
24,4105630,2020. 11. 6.,50000,1300,3790000,3735,[ENG] 로꼬 전역하자마자 연행 위기?! 💊부터 금괴까지 선 넘는 밀수품에 모든걸 의심하게 된다는 관세청 직업 리뷰 | 워크맨 ep.75,824
25,3066508,2020. 11. 6.,77000,795,1070000,16431,화장품왕 만나서 네고해왔습니다 [네고왕] Ep.11,889
26,363239,2020. 11. 10.,10000,118,2570000,594,안녕하세요 Thankyou BUBU 입니다,923
27,83549,2020. 11. 11.,16000,17,1570000,2394,비투비 포유 (BTOB 4U) - 1st Mini Album [INSIDE] Audio Snippet,528
28,1535127,2020. 11. 6.,14000,1100,3750000,4340,[꼬꼬무] 7화 요약 '망치로 성인 4명을 때려 눕힌 무등산 타잔 박흥숙' | SBS NOW,120
29,369391,2020. 11. 10.,8000,128,619000,1069,도토리 키재기,1177
30,260081,2020. 11. 10.,2700,135,308000,484,생선이 30kg가 넘어가면 고기 맛이 나네요,741
31,857223,2020. 11. 8.,6000,1400,146000,1902,라면 10개 먹는 보디빌더 부부,481
32,336738,2020. 11. 10.,30000,169,5970000,974,[방송선공개] 원조가 돌아왔다? 2배속 댄스의 제왕 여자친구,127
33,630051,2020. 11. 9.,28000,212,475000,3395,결국 아빠가 유튜브 하는 거 알게 되었습니다,389
34,571866,2020. 11. 8.,9100,296,1060000,719,[실험카메라] 여친한테 회사 뒤통수 치고 나가서 커플 유튜브 하자고 했을때 반응은?ㅋㅋㅋㅋㅋㅋ,935
35,145682,2020. 11. 10.,1800,104,68000,396,먹방) 개그맨 대선배님 식당 목숨걸고 맛평가~3탄! 주병진 선배님 식당편! 눈치보다가 눈 돌아갈뻔ㅋㅋ / naengmyeon mukbang,507
36,4359062,2020. 11. 6.,38000,1000,1180000,2572,"강형욱이 탐낸 천재견, 신비의 견종 3개월 파라오 하운드와 저 세상 터그놀이 | 강형욱의 멍스쿨",363
37,1395744,2020. 11. 7.,19000,314,2280000,1476,[sub]🕺ep.3-2 은초딩 입맛을 만족시킨 최고의 안주는?! #언제까지어깨춤을추게할거야,863
38,4360086,2020. 11. 6.,38000,1000,1180000,2572,"강형욱이 탐낸 천재견, 신비의 견종 3개월 파라오 하운드와 저 세상 터그놀이 | 강형욱의 멍스쿨",971
39,224863,2020. 11. 10.,3900,208,333000,87,"💚시금치나물무침💚제발 간장으로 무치지 마세요, 통○○○으로 무치면 맛이 10배",1061
40,100768,2020. 11. 10.,5500,40,39200,431,강아지 때문에 세수도 못하는 현실ㅠㅠ,131
41,1552655,2020. 11. 7.,38000,862,2290000,3433,장난전화 [총몇명 단편],145
42,547093,2020. 11. 8.,9200,488,1200000,740,ENG/IND] [PRANK] 진호가 여자친구 송희랑 있는데 존예녀가 들이댄다면?!!ㅋㅋㅋㅋㅋ(송희 개빡침) - [동네놈들｜HOODBOYZ],631
43,340739,2020. 11. 8.,7000,163,0,701,[사연툰] 역대급! 학교에선 조용..밖에선 갑질하는 금수저 친구 [마나툰],351
44,229602,2020. 11. 8.,5000,67,186000,304,"[남편이 아내에게 하는 골프레슨] 드라이버, 이대로만 쭉 유지 할 수 있다면...",784
45,169734,2020. 11. 9.,1800,74,0,451,이 몸 만드는데 돈이 얼마나 들었을까? | 충격적인 내츄럴 과 비내츄럴의 유지비 차이!,528
46,432672,2020. 11. 8.,25000,965,277000,4469,로건그릴스 ㅣ 부추 밭에서 토마호크스테이크,321
47,263703,2020. 11. 8.,4400,158,578000,479,"eng)결혼 D-42ㆍ신혼집 계약하는날, 교통사고 당함😭(안다쳤어요!) 자존감 높이기, 튀김우동 해먹기",2098
48,86747,2020. 11. 9.,1300,48,41100,297,[현지반응+분석] 손흥민은 왜 슛을 망설였던 걸까? (토트넘 v 웨스트브롬위치),234
49,81038,2020. 11. 9.,2700,43,315000,0,[비글부부] 비글부부만의 유아 미디어 노출 교육법 공개합니다,714
