,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
0,2195422,2020. 11. 13.,55000,636,1100000,5491,네고왕 만나서 네고해왔습니다(ft.케이크왕) [네고왕] Ep.12,911
1,1470668,2020. 11. 13.,14000,562,206000,3037,강형욱 최초로 상황실 뛰쳐나가다! 지능적으로 보호자 무시하는 골든 레트리버 '도리' [개는 훌륭하다],1389
2,699205,2020. 11. 13.,9600,177,2250000,771,"[#구미호뎐] 김범에게 유일한 존재인 김용지, 이무기의 암시에 홀려 김범을 직접 죽이려고 했다? 제발 어떻게든 살아나주라..😭 | #갓구운클립 #Diggle",747
3,680631,2020. 11. 13.,12000,179,2290000,706,🕺ep.4-1 왜 술만마시면 싸우는건지 잘 모르겠지만 언제까지어깨춤을추게할거야,955
4,532198,2020. 11. 2.,11000,121,2290000,801,🕺ep.4-2 풍류취한사람특) 했던말또하고 별거아닌거로진지함 #언제까지어깨춤을추게할거야,637
5,1449181,2020. 11. 13.,14000,505,1200000,4516,"""너 미쳤어?"" 강형욱 극대노한 이유. 3개월 카네코르소와 대도시 노부부 가족 | 강형욱의 멍스쿨",869
6,2185222,2020. 11. 12.,44000,787,2660000,8493,[신병] 분리수거,283
7,510026,2020. 11. 13.,9600,158,2250000,719,"[#구미호뎐] 내 동생 괴롭히지 마😉 이래서 아기 여우가 형 못 잃지,, 이동욱 X 김범의 빌런 처단 빅픽처 총정리! | #갓구운클립 #Diggle",739
8,700336,2020. 11. 13.,8100,363,135000,1010,[꼬꼬무 8회 요약] ＂각오했기에 떳떳하다＂ 최악의 조폭 살인사건 | 꼬리에 꼬리를 무는 그날 이야기,1168
9,893864,2020. 11. 14.,9200,227,7760000,2900,SMTM9 [5회/풀버전] 스윙스 X 카키 X 래원 @3차 예선 I 트리플 크루 배틀 Full ver. EP.5 201113,184
10,777380,2020. 11. 14.,7300,246,7760000,3727,SMTM9 [5회/풀버전] 머쉬베놈 X 미란이 @3차 예선 I 트리플 크루 배틀 Full ver. EP.5 201113,183
11,1009617,2020. 11. 13.,5200,457,123000,3931,2020 올림픽대표 평가전 대한민국 vs 이집트 하이라이트,584
12,656011,2020. 11. 13.,96000,243,2640000,6502,"[4K][special] 마마무(MAMAMOO)의 킬링보이스를 라이브로! /Mr.애매모호,너나 해,데칼코마니,별빛밤,I miss you,HIP,고고베베,딩가딩가,AYA | 딩고뮤직",900
13,339615,2020. 11. 13.,2100,95,1320000,401,"[요약] 김소연X최예빈, 불륜+살인+부정입학 미스터리한 모녀의 비밀! #펜트하우스 #SBScatch",1392
14,331542,2020. 11. 13.,6800,137,641000,637,훈남이 존예 뷰티유튜버와 쌩얼로 소개팅하다 놀란 충격적 이유 (미트/쩡유/연우/Amazing Makeup/Korean) #레디팅 #NEW룩개팅14,819
15,262005,2020. 11. 13.,5800,171,156000,815,"500원짜리 부침개 털다가 고백 ""이모님..저 라면 20개 먹어요ㅎ.."" ㅋㅋㅋ주위사람들 반응 꿀잼 MUKBANG EATING SHOW",742
16,519616,2020. 11. 12.,7900,126,2250000,907,[#유퀴즈온더블럭] 화재현장 베테랑 김명배 소방위님이 기억하는 대구 지하철 화재사건 | #갓구운클립 #Diggle,1118
17,345703,2020. 11. 13.,2900,89,254000,856,국대 4인방 슈팅 훈련 ㄷㄷㄷ#황의조 #권창훈 #황희찬 #이강인 | 2020 유럽 원정 EP.6,335
18,1860222,2020. 11. 11.,48000,1100,2290000,10367,"안녕, 루시퍼 [지옥에서 온 그녀]",492
19,488343,2020. 11. 13.,5900,167,858000,1437,헤비급최강자 명현만 3대측정,818
20,145378,2020. 11. 13.,5100,78,23100,1237,그랑사가 | 연극의 왕 Full ver. [The King of the theater | Gran Saga],616
