,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
21,493975,2020. 11. 13.,10000,158,2320000,1113,(EN) 주인 나와! 빵먹다 화난 쭈니형? 🍞실시간 리얼 먹방 사운드🍞(+ 🍪3D 장인 @사나고 Sanago 가 여기서 왜 나와?)ㅣ와썹맨2 ep.19ㅣ박준형,754
22,1347268,2020. 11. 13.,20000,637,3790000,1846,오늘부터 ❄얼.죽.아❄ 뜻은 얼어서 죽을 것 같은 아이스링크입니다. 힘들어서 빙(氷)글 돌았어요🥶🥶 | 아이스링크 알바 리뷰 | 비비 | 워크맨 ep.76,769
23,569832,2020. 11. 12.,3400,210,692000,695,서진 룸살롱 사건의 배후? 범서방파 두목 김태촌의 고백 | 그알로 보는 '김태촌',724
24,5196805,2020. 11. 13.,1140000,2900,40100000,39111,2009** BTS (+ENG),387
25,582165,2020. 11. 13.,33000,13000,4700000,5187,SUB)입안 사르륵 초밥에 뜨끈한 우동 먹방🍣🍜 참치 연어 전복 등 모둠초밥 리얼사운드 Sushi & udon mukbang asmr,558
26,353686,2020. 11. 13.,5600,165,1070000,527,"저 사장 인데, 3억짜리 슈퍼카 정도는 타도 괜찮잖아요?",654
27,656438,2020. 11. 12.,7100,153,254000,1321,#손흥민#이강인 합류 #완전체 훈련 돌입! 도대체..킬포가 몇 개야? | 2020 유럽 원정 EP.5,381
28,82588,2020. 11. 13.,1300,44,64000,331,"아이폰 12 미니/프로/맥스, 나라면 이거 산다! 유튜버들의 선택은? [꿀가주몽 ep.4]",808
29,153980,2020. 11. 13.,1900,38,746000,147,필란드 빌사위 빌푸와 장인 장모님의 두근두근(?) 첫 만남! l #어서와정류장 l #어서와한국은처음이지 l EP.165,608
30,152068,2020. 11. 13.,1200,40,185000,220,이천수가 아시아의 베컴으로 불리는 이유.,594
31,791083,2020. 11. 12.,9200,188,31200,1020,[라디오스타] ＂너 진짜 잘 하고 있어＂ 이수만도 인정한 만능열쇠 키의 축 전역 토크✨ | #엠뚜루마뚜루 #잼모아,894
32,1271244,2020. 11. 11.,23000,398,1780000,4152,노래방 사장님의 노래실력 (Feat. 임창정) | ODG,531
33,688646,2020. 11. 12.,11000,391,340000,4128,이것은 상상도 못한 가지│맘스터치 리얼비프버거,497
34,186991,2020. 11. 13.,4400,112,82300,834,1000만원짜리 알바 #2 [기시니 스릴러툰],227
35,90800,2020. 11. 13.,5100,48,260000,179,몽골 가족이 한국에 처음 와서 충격받은 이유?,549
36,370179,2020. 11. 13.,17000,137,1800000,1344,성견 진돗개가 고양이에게 맞을때 보이는 놀라운(!) 행동,646
37,147474,2020. 11. 13.,6700,42,224000,966,울아빠도 인정한 폐가의 매력 (그렇다고 눌러앉을것까지야...)│MBC PD 시골살이 VLOG 오느른 EP.24,635
38,1471213,2020. 11. 11.,59000,38000,4700000,10563,SUB)바삭한 돈까스에 매콤새콤 쫄면 먹방 ! (ft.왕새우튀김) 리얼사운드 Pork cutlet jjolmyeon mukbang asmr,506
39,69463,2020. 11. 13.,1300,49,13300,364,개를 건드리면 안 되는 이유,336
40,341714,2020. 11. 12.,12000,210,890000,2170,미파학 개론 : Q&A 3편 - 모든 것을 말해줄게요,1785
41,167754,2020. 11. 12.,874,41,20800,148,구미호뎐 11회 - 이연에게 한방먹은 이무기 그를 만든건 복길이일까?,501
42,161103,2020. 11. 12.,2600,223,502000,488,"(Sub)""아빠가 여기 건물주에요"" Black Pink 리사 닮은 미녀분 빵터진 카페 알바 면접 몰카ㅋㅋ",541
43,177985,2020. 11. 12.,4400,135,57500,1660,어몽어스 애니메이션 - 펫3/AMONG US ANIMATION - PET3,223
44,737850,2020. 11. 12.,9300,218,623000,1229,친구라고? 18살 차이는 결국 극복할 수 없었습니다,524
45,319471,2020. 11. 12.,5200,107,297000,663,겨털밀기빵 게임내기중에 프로게이머가 몰래 대신한다면?ㅎㅎ,342
46,577789,2020. 11. 11.,7400,298,453000,881,저 승무원이었어요..,259
47,2713246,2020. 11. 9.,82000,67000,4700000,30945,SUB)매콤달콤한 제육볶음에 된장시래기국 집밥 먹방 리얼사운드 Jeyukbokkeum mukbang ASMR,659
48,224972,2020. 11. 11.,2100,44,149000,556,(펀치력 ㅎㄷㄷ) 헤비급 최강 핵주먹 김형규 VS 최강 맷집 이상수 100% 풀파워 스파링!!,405
49,370743,2020. 11. 11.,9800,86,2270000,784,[Eng] 초아(CHOA)에게 쎈 언니 메이크업 해주기😎 l 이사배(RISABAE Makeup),873
