,조회수,날짜,좋아요수,싫어요수,구독자수,댓글,제목,영상길이
0,2714108,2020. 11. 6.,72000,714,1060000,14962,화장품왕 만나서 네고해왔습니다 [네고왕] Ep.11,538
1,3428966,2020. 11. 6.,44000,1100,3780000,3257,로꼬 전역하자마자 연행 위기?! 💊부터 금괴까지 선 넘는 밀수품에 모든걸 의심하게 된다는 관세청 직업 리뷰 | 워크맨 ep.75,824
2,464965,2020. 11. 8.,4700,405,143000,1130,라면 10개 먹는 보디빌더 부부,481
3,1121179,2020. 11. 7.,16000,271,2280000,1208,[sub]🕺ep.3-2 은초딩 입맛을 만족시킨 최고의 안주는?! #언제까지어깨춤을추게할거야,863
4,435728,2020. 11. 8.,8200,156,1060000,594,[실험카메라] 여친한테 회사 뒤통수 치고 나가서 커플 유튜브 하자고 했을때 반응은?ㅋㅋㅋㅋㅋㅋ,935
5,2649443,2020. 11. 6.,28000,625,1180000,1897,"강형욱이 탐낸 천재견, 신비의 견종 3개월 파라오 하운드와 저 세상 터그놀이 | 강형욱의 멍스쿨",971
6,1377791,2020. 11. 7.,36000,774,2290000,3251,장난전화 [총몇명 단편],1177
7,978096,2020. 11. 6.,9800,704,3750000,2828,[꼬꼬무] 7화 요약 '망치로 성인 4명을 때려 눕힌 무등산 타잔 박흥숙' | SBS NOW,145
8,389276,2020. 11. 8.,7400,295,1190000,642,ENG/IND] [PRANK] 진호가 여자친구 송희랑 있는데 존예녀가 들이댄다면?!!ㅋㅋㅋㅋㅋ(송희 개빡침) - [동네놈들｜HOODBOYZ],351
9,249725,2020. 11. 8.,6100,106,0,610,[사연툰] 역대급! 학교에선 조용..밖에선 갑질하는 금수저 친구 [마나툰],631
10,476432,2020. 11. 7.,10000,132,59000,607,(ENG) 환불원정대. 만옥천옥조지 험난한 브런치 원정기.,309
11,2667337,2020. 11. 5.,76000,10000,6440000,25617,[MPD직캠] 트와이스 1위 앵콜 직캠 4K 'I CAN'T STOP ME' (TWICE FanCam No.1 Encore) | @MCOUNTDOWN_2020.11.5,305
12,804353,2020. 11. 9.,9000,545,6070000,842,Highlights Valencia CF vs Real Madrid (4-1),91
13,1079507,2020. 11. 6.,22000,189,2870000,2353,[하이라이트]누구의 인생이건 예능신이 머물다 가는 순간이 있다... #신서유기8 | tvnbros8 EP.5,837
14,760585,2020. 11. 6.,7300,353,1070000,506,[TV 동물농장 레전드] ‘멸종 위기 늑대의 출산 현장 24시’ 풀버전 다시보기 I TV동물농장 (Animal Farm) | SBS Story,274
15,200881,2020. 11. 8.,17000,486,275000,3430,로건그릴스 ㅣ 부추 밭에서 토마호크스테이크,321
16,1453786,2020. 11. 5.,26000,627,2650000,3601,[2인팟] 제시,287
17,210044,2020. 11. 8.,3000,171,1020000,806,흙수저였는데 람보르기니타고오니 절교하자네요ㅋㅋ,225
18,163564,2020. 11. 8.,4600,110,254000,423,운전자 대부분이 모르는 내기순환 버튼의 숨겨진 기능 + 자동차 내부 관리 방법 / HIDDEN FEATURES OF MY CARS [ 차업차득 ],268
19,3195679,2020. 11. 4.,94000,2200,1020000,18315,임영웅 [HERO] MV,218
20,1663244,2020. 11. 6.,60000,914,1370000,8873,"[4K] 송민호(MINO)의 킬링벌스를 라이브로! | Hooligan, 시발점, Born Hater, Machine Gun, 노땡큐, 연금술, 붐벼, Ok man, 도망가 등",954
21,126727,2020. 11. 8.,3500,41,184000,216,"[남편이 아내에게 하는 골프레슨] 드라이버, 이대로만 쭉 유지 할 수 있다면...",854
22,825060,2020. 11. 7.,12000,151,2280000,814,[sub]🕺ep.3-1 한잔줍쇼~십오야 콜라보! 마포로 간 어깨춤 세끼! #언제까지어깨춤을추게할거야,784
23,174029,2020. 11. 8.,3700,97,577000,426,"eng)결혼 D-42ㆍ신혼집 계약하는날, 교통사고 당함😭(안다쳤어요!) 자존감 높이기, 튀김우동 해먹기",2098
24,196091,2020. 11. 6.,5000,66,100000,131,A thought on an autumn night (가을밤에 든 생각),187
25,74356,2020. 11. 6.,608,60,60700,36,굴전/이렇게 만드시면 아주 간단하고 맛있어요,60
26,1162778,2020. 11. 6.,24000,1000,152000,4123,Chocolate Fondue ASMR Mukbang 초코퐁듀 직접 만들어서 먹방!,632
27,724607,2020. 11. 6.,9900,216,346000,1445,대책마련이 시급합니다..고향찾아 돌아온 수천마리 연어떼에게 펼쳐진 충격적인 현실..[생도다큐],786
28,48737,2020. 11. 8.,609,24,97100,637,[2020 FA CUP] 결승 2차전 전북 vs 울산 하이라이트,816
29,143256,2020. 11. 7.,1800,93,148000,69,"쉽고 자세하게! 가을무생채 맛있게 담그는법, 무생채무침 맛있게 만들기 / 무우생채 담그는법",511
30,552897,2020. 11. 7.,8300,314,617000,2010,열망의 치킨 먹방,559
31,2103214,2020. 11. 5.,19000,373,144000,1962,[#하이라이트#] 전국에 딱 7명 있는 직업? 국과수 자기님들과의 토크 #유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.79,716
32,287991,2020. 11. 8.,9300,94,487000,1580,쪄쪄로,175
33,614055,2020. 11. 7.,9700,222,518000,1683,마늘 스테이크 : 제발 한국인이면 K-스테이크 좀 요리합시다,598
34,348028,2020. 11. 6.,5700,206,632000,591,얼굴없이 치킨먹방만 보고 존잘남 찾은 존예 (Mukbang Fried Chicken/Spicy Fried Chicken/짜장치킨) #먹개팅 #NEW룩개팅13,874
35,2462234,2020. 11. 6.,250000,3000,22500000,10403,1MILLION X K/DA - MORE,218
36,195953,2020. 11. 8.,4100,85,364000,63,밥상위에 꿀반찬 오래두고 먹을 수 있는 보들보들한 황태 고추장 장아찌,508
37,296390,2020. 11. 7.,5800,138,1190000,1218,산산조각케잌 먹방 (with쏘대장),482
38,653573,2020. 11. 6.,6800,218,605000,974,"위가 2개인 먹방계 돌연변이 등장? 위내시경 결과 공개!┃Mutant with 2 Stomachs?! Revealing the Gastroscope Result, too!!",302
39,1421338,2020. 11. 6.,48000,1000,5350000,2019,[K-Choreo 8K] 트와이스 직캠 I CAN'T STOP ME (TWICE Choreography) l @MusicBank 201106,229
40,1104190,2020. 11. 8.,220000,839,2790000,12091,TREASURE - ‘음 (MMM)’ 1108 SBS Inkigayo,224
41,837983,2020. 11. 7.,18000,631,845000,3904,[동충하초] 말뚝박기,257
42,890841,2020. 11. 6.,2500,164,1320000,434,[요약] 엄기준 두집살림도 모자라 애까지..? 모든 게 가짜인 이지아ㅠㅠ #펜트하우스 #SBScatch,1629
43,283609,2020. 11. 6.,5200,91,173000,129,"김창옥 교수 #04 | 마음이 건강한 사람들의 특징, 닥치지 않은 미래를 걱정하지 마세요 | #어쩌다어른 #사피엔스",222
44,293963,2020. 11. 7.,8700,144,468000,1725,숨 막히는 연애,393
45,2792742,2020. 11. 8.,51000,1100,2360000,2405,Chelsea 4-1 Sheffield United | Ziyech Stars As Silva Scores 1st Goal! | Premier League Highlights,138
46,104824,2020. 11. 7.,6300,48,2630000,391,[4K] 가을밤에 들으면 갬성 풀 충전 되는 '잔나비-가을밤에 든 생각' (Acoustic Ver.)ㅣ세로라이브ㅣJannabiㅣ어쿠스틱 버젼 Liveㅣ딩고뮤직ㅣDingo Music,214
47,47160,2020. 11. 7.,2200,58,290000,157,미국에 살아보니 미국이 한국을 절대 따라갈 수 없는 분야 3가지,545
48,248532,2020. 11. 6.,5800,99,193000,780,남사친에게 좋아한다고 말해보았다.,554
49,770229,2020. 11. 6.,25000,388,2790000,3572,90년된 건물 수리하기,294
