2195422,1470668,699205,680631,532198,1449181,2185222,510026,700336,893864,777380,1009617,656011,339615,331542,262005,519616,345703,1860222,488343,145378,493975,1347268,569832,5196805,582165,353686,656438,82588,153980,152068,791083,1271244,688646,186991,90800,370179,147474,1471213,69463,341714,167754,161103,177985,737850,319471,577789,2713246,224972,370743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020. 11. 13.,2020. 11. 13.,2020. 11. 13.,최초 공개: 2020. 11. 13.,23시간 전 최초 공개,최초 공개: 2020. 11. 13.,2020. 11. 12.,2020. 11. 13.,2020. 11. 13.,2020. 11. 14.,2020. 11. 14.,2020. 11. 13.,2020. 11. 13.,2020. 11. 13.,2020. 11. 13.,2020. 11. 13.,2020. 11. 12.,2020. 11. 13.,2020. 11. 11.,2020. 11. 13.,2020. 11. 13.,2020. 11. 13.,2020. 11. 13.,2020. 11. 12.,실시간 스트리밍 시작일: 2020. 11. 13.,2020. 11. 13.,2020. 11. 13.,2020. 11. 12.,2020. 11. 13.,2020. 11. 13.,2020. 11. 13.,2020. 11. 12.,최초 공개: 2020. 11. 11.,2020. 11. 12.,2020. 11. 13.,2020. 11. 13.,2020. 11. 13.,2020. 11. 13.,2020. 11. 11.,2020. 11. 13.,2020. 11. 12.,2020. 11. 12.,2020. 11. 12.,2020. 11. 12.,2020. 11. 12.,2020. 11. 12.,2020. 11. 11.,2020. 11. 9.,2020. 11. 11.,2020. 11. 11.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5만,1.4만,9.6천,1.2만,1.1만,1.4만,4.4만,"9.6천
이 동영상이 마음에 듭니다.","8.1천
이 동영상이 마음에 듭니다.","9.2천
이 동영상이 마음에 듭니다.","7.3천
이 동영상이 마음에 듭니다.","5.2천
이 동영상이 마음에 듭니다.","9.6만
이 동영상이 마음에 듭니다.","2.1천
이 동영상이 마음에 듭니다.","6.8천
이 동영상이 마음에 듭니다.","5.8천
이 동영상이 마음에 듭니다.","7.9천
이 동영상이 마음에 듭니다.","2.9천
이 동영상이 마음에 듭니다.","4.8만
이 동영상이 마음에 듭니다.","5.9천
이 동영상이 마음에 듭니다.","5.1천
이 동영상이 마음에 듭니다.","1만
이 동영상이 마음에 듭니다.","2만
이 동영상이 마음에 듭니다.","3.4천
이 동영상이 마음에 듭니다.","114만
이 동영상이 마음에 듭니다.","3.3만
이 동영상이 마음에 듭니다.","5.6천
이 동영상이 마음에 듭니다.","7.1천
이 동영상이 마음에 듭니다.","1.3천
이 동영상이 마음에 듭니다.","1.9천
이 동영상이 마음에 듭니다.","1.2천
이 동영상이 마음에 듭니다.","9.2천
이 동영상이 마음에 듭니다.","2.3만
이 동영상이 마음에 듭니다.","1.1만
이 동영상이 마음에 듭니다.","4.4천
이 동영상이 마음에 듭니다.","5.1천
이 동영상이 마음에 듭니다.","1.7만
이 동영상이 마음에 듭니다.","6.7천
이 동영상이 마음에 듭니다.","5.9만
이 동영상이 마음에 듭니다.","1.3천
이 동영상이 마음에 듭니다.","1.2만
이 동영상이 마음에 듭니다.","874
이 동영상이 마음에 듭니다.","2.6천
이 동영상이 마음에 듭니다.","4.4천
이 동영상이 마음에 듭니다.","9.3천
이 동영상이 마음에 듭니다.","5.2천
이 동영상이 마음에 듭니다.","7.4천
이 동영상이 마음에 듭니다.","8.2만
이 동영상이 마음에 듭니다.","2.1천
이 동영상이 마음에 듭니다.","9.8천
이 동영상이 마음에 듭니다."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,562,177,179,121,505,787,158,363,227,246,457,243,95,137,171,126,89,1.1천,167,78,158,637,210,2.9천,1.3만,165,153,44,38,40,188,398,391,112,48,137,42,3.8만,49,210,41,223,135,218,107,298,6.7만,44,86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100000,20.6,2250000,2290000,2290000,1200000,2660000,2250000,13.5,7760000,7760000,12.3,2640000,1320000,64.1,15.6,2250000,25.4,2290000,85.8,2.31,2320000,3790000,69.2,40100000,4700000,1070000,25.4,6.4,74.6,18.5,3.12,1780000,340000,8.23,260000,1800000,22.4,4700000,1.33,890000,2.08,50.2,5.75,62.3,29.7,45.3,4700000,14.9,2270000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5491,3037,771,706,801,4516,8493,719,1010,2900,3727,3931,6502,401,637,815,907,856,10367,1437,1237,1113,1846,695,39111,5187,527,1321,331,147,220,1020,4152,4128,834,179,1344,966,10563,364,2170,148,488,1660,1229,663,881,30945,556,784
