2714108,3428966,464965,1121179,435728,2649443,1377791,978096,389276,249725,476432,2667337,804353,1079507,760585,200881,1453786,210044,163564,3195679,1663244,126727,825060,174029,196091,74356,1162778,724607,48737,143256,552897,2103214,287991,614055,348028,2462234,195953,296390,653573,1421338,1104190,837983,890841,283609,293963,2792742,104824,47160,248532,770229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020. 11. 6.,2020. 11. 6.,2020. 11. 8.,2020. 11. 7.,2020. 11. 8.,최초 공개: 2020. 11. 6.,2020. 11. 7.,2020. 11. 6.,2020. 11. 8.,2020. 11. 8.,2020. 11. 7.,2020. 11. 5.,2020. 11. 9.,2020. 11. 6.,2020. 11. 6.,2020. 11. 8.,2020. 11. 5.,최초 공개: 2020. 11. 8.,2020. 11. 8.,2020. 11. 4.,최초 공개: 2020. 11. 6.,2020. 11. 8.,2020. 11. 7.,2020. 11. 8.,2020. 11. 6.,2020. 11. 6.,2020. 11. 6.,2020. 11. 6.,2020. 11. 8.,2020. 11. 7.,2020. 11. 7.,2020. 11. 5.,2020. 11. 8.,최초 공개: 2020. 11. 7.,2020. 11. 6.,2020. 11. 6.,2020. 11. 8.,2020. 11. 7.,2020. 11. 6.,2020. 11. 6.,2020. 11. 8.,2020. 11. 7.,2020. 11. 6.,2020. 11. 6.,2020. 11. 7.,2020. 11. 8.,2020. 11. 7.,2020. 11. 7.,2020. 11. 6.,2020. 11. 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2만,4.4만,4.7천,1.6만,"8.2천
이 동영상이 마음에 듭니다.","2.8만
이 동영상이 마음에 듭니다.","3.6만
이 동영상이 마음에 듭니다.","9.8천
이 동영상이 마음에 듭니다.","7.4천
이 동영상이 마음에 듭니다.","6.1천
이 동영상이 마음에 듭니다.","1만
이 동영상이 마음에 듭니다.","7.6만
이 동영상이 마음에 듭니다.","9천
이 동영상이 마음에 듭니다.","2.2만
이 동영상이 마음에 듭니다.","7.3천
이 동영상이 마음에 듭니다.","1.7만
이 동영상이 마음에 듭니다.","2.6만
이 동영상이 마음에 듭니다.",3천,"4.6천
이 동영상이 마음에 듭니다.","9.4만
이 동영상이 마음에 듭니다.","6만
이 동영상이 마음에 듭니다.","3.5천
이 동영상이 마음에 듭니다.","1.2만
이 동영상이 마음에 듭니다.","3.7천
이 동영상이 마음에 듭니다.","5천
이 동영상이 마음에 듭니다.","608
이 동영상이 마음에 듭니다.","2.4만
이 동영상이 마음에 듭니다.","9.9천
이 동영상이 마음에 듭니다.","609
이 동영상이 마음에 듭니다.","1.8천
이 동영상이 마음에 듭니다.","8.3천
이 동영상이 마음에 듭니다.","1.9만
이 동영상이 마음에 듭니다.","9.3천
이 동영상이 마음에 듭니다.","9.7천
이 동영상이 마음에 듭니다.","5.7천
이 동영상이 마음에 듭니다.","25만
이 동영상이 마음에 듭니다.","4.1천
이 동영상이 마음에 듭니다.","5.8천
이 동영상이 마음에 듭니다.","6.8천
이 동영상이 마음에 듭니다.","4.8만
이 동영상이 마음에 듭니다.","22만
이 동영상이 마음에 듭니다.","1.8만
이 동영상이 마음에 듭니다.","2.5천
이 동영상이 마음에 듭니다.","5.2천
이 동영상이 마음에 듭니다.","8.7천
이 동영상이 마음에 듭니다.","5.1만
이 동영상이 마음에 듭니다.","6.3천
이 동영상이 마음에 듭니다.","2.2천
이 동영상이 마음에 듭니다.","5.8천
이 동영상이 마음에 듭니다.","2.5만
이 동영상이 마음에 듭니다."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1.1천,405,271,156,625,774,704,295,106,132,1만,545,189,353,486,627,171,110,2.2천,914,41,151,97,66,60,1천,216,24,93,314,373,94,222,206,3천,85,138,218,1천,839,631,164,91,144,1.1천,48,58,99,388
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060000,3780000,14.3,2280000,1060000,1180000,2290000,3750000,1190000,,5.9,6440000,6070000,2870000,1070000,27.5,2650000,1020000,25.4,1020000,1370000,18.4,2280000,57.7,100000,6.07,15.2,34.6,9.71,14.8,61.7,14.4,48.7,51.8,63.2,22500000,36.4,1190000,60.5,5350000,2790000,84.5,1320000,17.3,46.8,2360000,2630000,290000,19.3,2790000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14962,3257,1130,1208,594,1897,3251,2828,642,610,607,25617,842,2353,506,3430,3601,806,423,18315,8873,216,814,426,131,36,4123,1445,637,69,2010,1962,1580,1683,591,10403,63,1218,974,2019,12091,3904,434,129,1725,2405,391,157,780,3572
